time,low,high,open,close,volume
2021-03-23 18:00:00,1441.87,1454.0,1449.09,1443.13,601.05255589
2021-03-23 19:00:00,1430.0,1447.0,1442.37,1440.74,765.41366992
2021-03-23 20:00:00,1405.66,1440.8,1440.09,1411.28,914.30188986
2021-03-23 21:00:00,1400.0,1415.97,1411.38,1408.26,1035.09078409
2021-03-23 22:00:00,1404.73,1419.88,1407.76,1406.53,777.06099454
2021-03-23 23:00:00,1405.48,1418.44,1406.6,1410.63,580.48663895
2021-03-24 00:00:00,1394.0,1419.12,1410.05,1397.29,947.6414428
2021-03-24 01:00:00,1395.66,1416.61,1397.5,1414.68,379.61865816
2021-03-24 02:00:00,1410.94,1420.0,1412.46,1417.7,221.4215383
2021-03-24 03:00:00,1413.64,1423.41,1417.2,1415.7,233.10608517
2021-03-24 04:00:00,1415.2,1426.4,1415.7,1417.02,281.47322891
2021-03-24 05:00:00,1410.87,1423.28,1415.45,1415.35,270.25780667
2021-03-24 06:00:00,1404.05,1425.01,1414.55,1421.76,693.68013282
2021-03-24 07:00:00,1422.02,1437.58,1422.02,1436.38,1025.37806565
2021-03-24 08:00:00,1435.41,1454.73,1435.74,1449.9,1298.16383277
2021-03-24 09:00:00,1444.56,1456.0,1449.9,1447.42,765.8657133
2021-03-24 10:00:00,1444.98,1454.0,1448.01,1451.9,534.20798972
2021-03-24 11:00:00,1442.68,1452.82,1451.9,1450.41,486.60909304
2021-03-24 12:00:00,1449.05,1471.66,1449.05,1465.26,1288.48660433
2021-03-24 13:00:00,1452.0,1468.77,1464.71,1458.34,703.0150307
2021-03-24 14:00:00,1454.48,1462.22,1458.91,1456.23,453.51854499
2021-03-24 15:00:00,1447.5,1460.77,1456.9,1454.35,577.41247741
2021-03-24 16:00:00,1438.5,1459.82,1454.59,1439.0,524.73830497
2021-03-24 17:00:00,1433.86,1444.93,1438.5,1434.9,584.26711112
2021-03-24 18:00:00,1409.0,1438.49,1434.23,1409.92,892.09955235
2021-03-24 19:00:00,1374.0,1414.62,1408.99,1385.03,2322.90457061
2021-03-24 20:00:00,1339.67,1385.32,1385.0,1368.41,4130.4289045
2021-03-24 21:00:00,1353.99,1373.9,1367.32,1366.26,1589.6355598
2021-03-24 22:00:00,1310.0,1365.55,1365.55,1345.95,5287.90206716
2021-03-24 23:00:00,1334.65,1353.85,1344.5,1341.05,2017.03346826
2021-03-25 00:00:00,1327.72,1352.32,1340.5,1346.4,2178.49441546
2021-03-25 01:00:00,1315.85,1349.16,1346.1,1317.24,1499.24810085
2021-03-25 02:00:00,1312.83,1337.88,1317.27,1328.8,1932.33591234
2021-03-25 03:00:00,1320.72,1339.06,1328.82,1330.77,672.93507305
2021-03-25 04:00:00,1324.05,1340.58,1330.21,1333.45,831.80542624
